p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.1810005631183257e-258,1.5105476059642844,0.937,0.326,2.169616134504676e-254,0,PPP1R15A
4.2749332762296885e-258,1.0499674841550983,0.725,0.118,7.853479921761561e-254,0,KLHL6
4.5048813168034086e-257,1.0430918318776001,0.763,0.136,8.275917467099542e-253,0,MGST2
2.530224705962313e-256,1.8015858943858234,1,0.929,4.648275807323365e-252,0,TMSB4X
2.7681236526348795e-256,1.1293981478471338,0.767,0.142,5.085319962255537e-252,0,RCSD1
2.796171496488625e-256,1.070840154499997,0.723,0.123,5.1368466561992535e-252,0,CTSH
4.643872001941092e-256,1.027223733528858,0.745,0.129,8.531257254765979e-252,0,BST2
5.894288785614143e-256,1.0932348434705152,0.838,0.173,1.0828397928051742e-251,0,CLIC1
2.490123864164871e-255,1.2128603201545114,0.892,0.25,4.574606550857285e-251,0,GNG5
3.327437957313319e-255,1.0771284381790025,0.793,0.155,6.112836271380298e-251,0,ST6GAL1
8.2113192612893495e-255,1.0859884528447432,0.717,0.126,1.5085014614914663e-250,0,SWAP70
5.809755340407244e-253,1.162393270029475,0.836,0.186,1.0673101535862149e-248,0,VAMP8
9.789750529149696e-253,1.2437682025246963,1,0.93,1.7984750697100905e-248,0,RPL11
1.4049899827750474e-252,1.0711739553654778,0.796,0.157,2.5811070973560394e-248,0,CD53
2.60935121893939e-252,1.2013209008219012,0.697,0.113,4.7936391243135534e-248,0,HLA-DQA1
5.682742980816931e-251,1.120588127124055,0.756,0.137,1.0439767130058784e-246,0,LILRB4
1.5350815227291285e-250,1.5600938286222545,0.99,0.398,2.820098265405682e-246,0,HSPA1A
1.325606469694437e-249,1.2829102851438485,0.944,0.333,2.43527164547565e-245,0,WASF2
7.180144355300194e-249,1.193221262572743,0.893,0.241,1.3190643195121986e-244,0,CD99
1.4135157733947707e-247,1.0121957059701856,0.746,0.134,2.596769827303533e-243,0,UNC93B1
4.948879026118994e-247,1.0242118451850184,0.703,0.121,9.091585658883203e-243,0,THEMIS2
1.0882945207425511e-246,1.066777519525767,0.848,0.193,1.999305864056141e-242,0,SERPINB6
3.954693529670903e-245,1.152094861276737,0.998,0.892,7.265167483358416e-241,0,RPS11
8.519962670076667e-245,1.0706420445871114,0.734,0.137,1.5652023421197845e-240,0,IL13RA1
5.47215975027888e-243,1.6484442189877058,1,0.881,1.0052904677237329e-238,0,APOE
4.1664328803213925e-242,1.1903580370494617,0.847,0.219,7.65415384443843e-238,0,MEF2C
6.606886467733147e-242,1.0495137510251338,0.649,0.099,1.2137511129872565e-237,0,MAN1A1
1.8435511948865356e-241,1.1725845338433123,0.701,0.122,3.386787900126055e-237,0,FCGR1A
3.9305619027374215e-241,1.111267297399845,0.748,0.141,7.220835271518917e-237,0,USP53
4.119927281483212e-241,1.9265097692773017,0.984,0.544,7.568718408812809e-237,0,SPP1
5.033443390902347e-241,1.112854853027725,0.778,0.179,9.246938853426702e-237,0,OTULINL
9.025711981715482e-241,1.7308493298976675,0.861,0.272,1.6581135481609512e-236,0,CCL4
5.04935089761088e-240,1.3729148282242742,0.988,0.634,9.276162534000947e-236,0,ASAH1
1.1910615284671795e-239,1.0784497845509549,1,0.984,2.1880991339470553e-235,0,TPT1
6.63909582875355e-238,1.2304317066833637,0.636,0.097,1.2196682947003148e-233,0,P2RY13
1.5103133800663357e-236,1.0778119341318524,0.686,0.117,2.7745967105198653e-232,0,SLC2A5
2.573729159828882e-236,1.0113955544823103,0.782,0.161,4.728197839521639e-232,0,GMFG
4.6586601119988765e-236,1.0631560143097696,1,0.977,8.558424491753136e-232,0,RPLP1
5.607374639593395e-236,1.2791421187152676,0.999,0.91,1.0301307950397025e-231,0,RPS18
5.065571071744537e-235,1.1945295353964132,0.71,0.127,9.305960615901888e-231,0,VSIG4
1.2971630468999078e-233,1.4690131316405914,0.975,0.505,2.3830182334598206e-229,0,HERPUD1
2.1903211846614712e-233,1.2057268455045218,0.789,0.174,4.023839048341589e-229,0,ZFP36
2.007712933441191e-232,1.0246832787296631,0.714,0.13,3.688369430024812e-228,0,FCGR2A
3.30623656626417e-232,1.1388455422847592,0.999,0.943,6.073887195883907e-228,0,RPL26
1.0228404184265814e-230,1.1582238206970459,0.999,0.942,1.8790601326914725e-226,0,RPS19
2.3801091189594817e-230,1.600606787223537,0.991,0.628,4.372498462440464e-226,0,ZFP36L2
9.581672747573656e-230,1.3326703947883622,0.643,0.102,1.7602491004567564e-225,0,GPR183
2.1712228475147362e-228,1.3000150597792248,0.996,0.52,3.988753493169322e-224,0,HLA-B
3.0525588136078256e-228,1.0319104705702113,0.697,0.128,5.607855796478936e-224,0,TGFBR2
3.273527361178058e-228,1.0394617607072565,0.622,0.095,6.013797115220211e-224,0,FPR1
3.6995941487050584e-228,1.2120775095542646,0.955,0.367,6.796524410586062e-224,0,HLA-C
5.78082516327572e-228,1.489064211747181,1,0.804,1.0619953907453824e-223,0,B2M
1.6703723627617082e-226,1.0147737172863502,0.713,0.14,3.068641067629534e-222,0,ADAP2
2.2104263162703578e-226,1.5454655464389893,0.683,0.126,4.060774185620274e-222,0,GPNMB
2.598983823773841e-225,1.1048311373374595,0.774,0.188,4.774593182654924e-221,0,ACSL1
7.856674272031661e-225,1.0252949088723948,0.708,0.135,1.4433496305149365e-220,0,SIGLEC10
8.563773491163021e-225,1.9090388787517327,0.762,0.188,1.5732508280615586e-220,0,APOC2
2.2267840592941118e-224,1.368902754710778,0.985,0.565,4.0908249953292124e-220,0,SLC1A3
5.764489384816013e-224,1.2923578621071086,0.931,0.395,1.0589943448845497e-219,0,SEC14L1
6.563946446178275e-224,1.2150127452017758,0.918,0.401,1.205862601627411e-219,0,SEC11A
7.30387796149199e-224,1.2707064359946454,0.984,0.777,1.3417954203056935e-219,0,RPS10
2.2246323959312658e-222,1.0355473946944913,0.676,0.123,4.086872174565328e-218,0,CEBPA
2.579453258563078e-222,1.5748190767164485,0.782,0.207,4.738713581306231e-218,0,CCL3
1.4646569333418613e-221,1.1218230109663612,0.757,0.185,2.6907212522423333e-217,0,BMP2K
4.744756175769997e-221,1.0772648583426307,0.831,0.228,8.716591570507061e-217,0,REL
5.723315508139927e-221,1.2872321408876946,0.964,0.501,1.051430292000386e-216,0,CTSD
3.292721063281104e-220,1.1039159162592256,0.829,0.227,6.049057865353716e-216,0,MAF
2.096294412846778e-219,1.5531125148667995,0.966,0.546,3.851102465840816e-215,0,DUSP1
7.968679443826061e-214,1.1754964248493622,0.989,0.733,1.4639261006252856e-209,0,PSAP
3.38124600708548e-213,1.0591183578602055,0.882,0.316,6.211687039616735e-209,0,IFNGR1
1.0378571362025242e-211,1.0692575688911168,0.859,0.234,1.9066473449176574e-207,0,PRDX1
1.387546766527166e-211,1.0088292393058236,0.998,0.908,2.5490621647870564e-207,0,RPS16
2.017711255439523e-209,1.1502202467355596,0.917,0.392,3.7067373473679477e-205,0,GRN
3.397572058524576e-204,1.146128944356681,1,0.831,6.241679628715499e-200,0,TMSB10
1.01668746026797e-203,1.153663699726049,0.663,0.131,1.8677565332582878e-199,0,IFI30
4.676496055782983e-203,1.0178852704492396,1,0.977,8.591190904078918e-199,0,FTH1
2.2494567078806395e-200,1.3216050242069417,0.794,0.232,4.1324769180475227e-196,0,LGALS1
3.335987495035373e-200,1.0958007785657633,0.764,0.204,6.128542627129484e-196,0,PLTP
1.2806107313083144e-199,1.2609950571988147,0.941,0.475,2.3526099744865042e-195,0,TSC22D3
1.6961886311560773e-199,1.406419053357417,0.937,0.453,3.1160681342968296e-195,0,IER5
7.367238744397461e-196,1.09871602912379,0.863,0.312,1.3534354297332575e-191,0,SRGAP2
2.1856330733749567e-195,1.1800145595340323,0.946,0.424,4.015226519097133e-191,0,FOSB
1.083521682642086e-193,1.0402979816481905,0.604,0.111,1.9905376831817763e-189,0,HMOX1
1.286349080692673e-190,1.0304985455127849,0.98,0.696,2.3631518961405096e-186,0,ARPC3
9.097305847339537e-190,1.4495046724183909,0.551,0.092,1.6712660572147462e-185,0,CH25H
4.7609839566463674e-185,1.0522355767509277,0.898,0.407,8.746403626755041e-181,0,CHCHD10
7.520000380795471e-179,1.1039702898393977,0.962,0.414,1.3814992699559359e-174,0,HSPA1B
1.232661933890104e-178,1.6642819664910435,0.679,0.184,2.26452323874951e-174,0,CCL4L2
1.2198922524843432e-176,1.481322932557358,0.596,0.128,2.241064057038987e-172,0,CCL3L1
9.74205738071729e-176,1.035831085521759,0.843,0.349,1.7897133614115733e-171,0,TLN1
8.341196223932861e-175,1.0363191711358026,0.844,0.364,1.532361158298706e-170,0,CAP1
8.03195597800847e-174,1.0231695516009434,0.903,0.422,1.475550632719936e-169,0,SH3BGRL3
3.2280773935243595e-168,1.3939695017011213,0.901,0.473,5.9303009796436005e-164,0,IER2
2.560641385088923e-165,1.0041683616433073,0.962,0.653,4.704154288546861e-161,0,NFKBIA
3.904502950359711e-163,1.2180554592123263,0.869,0.436,7.172962370105825e-159,0,KLF6
1.6531937576224002e-159,1.0120712430045145,0.955,0.525,3.0370822521281114e-155,0,OGFRL1
2.138320435699113e-152,1.2353097243123474,0.513,0.101,3.928308472422841e-148,0,CXCL8
2.3452797387692918e-150,1.0713493658171638,0.844,0.411,4.308513408093066e-146,0,SOD2
3.3995723302226492e-149,1.0796446463946678,0.827,0.389,6.245354327852029e-145,0,LIMS1
4.073434797383344e-138,1.0010527503059743,0.93,0.533,7.483307066272941e-134,0,JUNB
4.548163688597808e-137,1.2626509481127295,0.438,0.078,8.355431512323034e-133,0,RGS16
8.76460517932185e-137,1.2079635743934616,0.953,0.71,1.610145617493217e-132,0,SGK1
3.460300824319308e-126,1.3643282275048563,0.904,0.61,6.356918644357001e-122,0,HSPB1
1.8996892877857042e-120,1.1616754922312313,0.821,0.434,3.489919190591117e-116,0,GADD45B
1.1399737121848007e-196,1.3849324702340176,0.873,0.323,2.094245706654697e-192,1,EGFR
2.443595381246899e-183,1.2434281695095124,0.994,0.493,4.489129074888678e-179,1,NOVA1
8.269717457151133e-174,1.147434668484689,0.798,0.265,1.5192297940532346e-169,1,SEZ6L
1.0019074230455814e-171,1.0995843829252205,0.831,0.292,1.8406041268770375e-167,1,TMEM100
4.281955658811002e-171,1.1901159500046676,0.968,0.438,7.866380740801693e-167,1,NRXN1
3.354792588668723e-170,1.219233080426457,1,0.556,6.163089464643311e-166,1,GPM6A
3.6852272145762223e-165,1.1725119684076506,0.95,0.439,6.770130915897978e-161,1,LINC00461
3.2744558871862834e-164,1.1258591983356336,0.887,0.343,6.015502910349921e-160,1,PDGFRA
2.089458716579995e-162,1.0990510328074705,0.867,0.355,3.838544608229109e-158,1,CSPG5
4.4456310038729685e-161,1.0723010364435872,0.869,0.337,8.16706871721503e-157,1,SERPINE2
3.172581268370239e-156,1.0154897165529735,0.934,0.394,5.828349048122967e-152,1,SCG3
3.8714918572093275e-153,1.132474629650079,0.994,0.535,7.112317690879256e-149,1,ETV1
4.3775532482842814e-152,1.0201457003395926,0.968,0.457,8.042003072423054e-148,1,CPE
4.344896020440037e-151,1.0111737231976443,0.707,0.221,7.982008479150391e-147,1,ATP1B2
6.018695422043796e-151,1.178421236609414,1,0.65,1.1056945359836659e-146,1,PTPRZ1
1.5647588280625052e-149,1.1031133173188556,0.989,0.727,2.8746184430336285e-145,1,SRI
2.0946854711239667e-149,1.0613798150494245,0.97,0.462,3.848146679001839e-145,1,PTN
2.7279431777992547e-149,1.0883428677921456,0.97,0.474,5.011504411935011e-145,1,LINC00632
3.379661195727083e-148,1.0295117217576497,0.945,0.428,6.208775582670224e-144,1,NFIB
6.063586621670144e-146,1.0682984549200603,0.804,0.312,1.1139414982670221e-141,1,TMEM158
1.220564884841565e-144,1.1284177237411628,0.865,0.378,2.242299749942439e-140,1,DSEL
1.941499120179987e-144,1.1547398782955245,0.99,0.624,3.566728033682654e-140,1,HES6
2.8426735220061452e-142,1.0215089975669884,0.786,0.294,5.2222755272774894e-138,1,ASCL1
1.9864478881837344e-139,1.1013382474716442,0.999,0.66,3.6493034153823386e-135,1,C1orf61
7.481389398321027e-139,1.0388693235324395,0.986,0.694,1.374406046365556e-134,1,TCF4
5.672648713464072e-128,1.185131772821363,0.523,0.127,1.0421222951504847e-123,1,IGFBP5
1.7198882727316421e-127,1.1026774753958257,0.992,0.633,3.1596067458353e-123,1,OLIG1
3.2487303461236705e-126,1.0286325568599857,0.722,0.26,5.968242518863795e-122,1,MEG3
1.5809603755546964e-123,1.0006166329387993,0.867,0.379,2.904382305931533e-119,1,SOX11
1.1678682623437677e-114,1.0280621766540499,0.92,0.443,2.1454907847517357e-110,1,DLL3
0,1.8734888239292466,0.858,0.134,0,2,GPR17
0,1.2235268690322434,0.756,0.079,0,2,SLC1A1
4.360718050824162e-295,1.4313981617169849,0.918,0.216,8.011075131169068e-291,2,UGT8
6.158314225439733e-284,1.9385908879631555,0.994,0.499,1.1313439063555332e-279,2,TNR
3.181117283052918e-272,1.0573177907769635,0.692,0.09,5.844030560696515e-268,2,GAL3ST1
4.750287588059529e-269,1.4599057680423297,0.943,0.265,8.72675332802416e-265,2,SHC3
3.0821413108418956e-259,1.1942746141568237,0.806,0.156,5.662201802147646e-255,2,COL20A1
3.3428808020983017e-246,1.6302424326223819,0.993,0.483,6.14120632153479e-242,2,SMOC1
1.5927453748253776e-245,1.4777298253183795,0.963,0.357,2.9260325280917014e-241,2,ATCAY
5.0530732019008296e-244,1.896639097631374,0.979,0.436,9.283000779212014e-240,2,DLL3
3.8241382842318865e-241,1.462290271633997,0.959,0.401,7.025324441962399e-237,2,LIMA1
